Stock,Weight
LIN,0.1176470588235294
SHW,0.09770687936191425
APD,0.08075772681954138
ECL,0.08374875373878364
DOW,0.031904287138584245
PPG,0.03589232303090728
MLM,0.05284147557328016
VMC,0.054835493519441676
NUE,0.03788634097706879
FCX,0.049850448654037885
AVY,0.02691924227318046
BALL,0.03788634097706879
PKG,0.023928215353938184
CF,0.020937188434695907
MOS,0.017946161515453637
NEM,0.014955134596211367
STLD,0.01794616151545364
ALB,0.09272183449651046
DD,0.04187437686939181
CTVA,0.06181455633100697
