Stocks,Count,IsValid
NVDA,10,1
AVGO,10,1
ASML,3,0
AMD,10,1
LRCX,3,1
MSFT,10,1
ADBE,10,1
NOW,10,1
CRM,10,1
INTU,10,1
AAPL,9,1
DELL,5,1
NET,7,0
ANET,7,1
ACN,7,1
FTNT,7,1
PANW,10,1
GDDY,1,0
MA,3,0
V,1,0
FIS,4,0
ADSK,2,0
SNPS,8,1
MDB,3,0
ZS,3,0
TEAM,3,0
QCOM,3,0
MRVL,4,0
CRWD,5,1
SPLK,1,0
GPN,1,0
DOCU,1,0
ZBRA,1,0
KLAC,9,1
TTWO,1,0
CDNS,5,1
AMAT,2,0
ADI,1,0
MCHP,1,0
TXN,2,0
PLTR,2,0
ORCL,3,0
NXPI,1,0
ROP,1,0
TYL,1,0
AMZN,1,0
INTC,1,0
IBM,4,1
GLW,3,0
DBOEY,1,0
PATH,2,0
HPQ,2,0
CSCO,3,0
JKHY,1,0
MU,2,0
FICO,1,0
FISV,2,0
TSM,1,0
DDOG,1,0
GIB,1,0
DXC,1,0
SNOW,1,0
