Stock,Weight
PLD,0.11374407582938391
 AMT,0.09478672985781994
 CCI,0.07109004739336494
 EQIX,0.08056872037914695
 DLR,0.056872037914691954
 SPG,0.06635071090047395
 O,0.07582938388625594
 AVB,0.04739336492890997
 EQR,0.04265402843601897
 MAA,0.03791469194312797
 VICI,0.06161137440758296
 WELL,0.05213270142180096
 ARE,0.04739336492890997
 EXR,0.033175355450236976
 PSA,0.028436018957345977
 INVH,0.023696682464454985
 HST,0.018957345971563986
 CPT,0.018957345971563986
 ESS,0.014218009478672989
 IRM,0.014218009478672989
