Stock,Weight
PG,0.09999999999999998
 KO,0.08333333333333333
 PEP,0.08333333333333333
 CL,0.041666666666666664
 MDLZ,0.06666666666666665
 KMB,0.04999999999999999
 COST,0.09999999999999998
 WMT,0.08333333333333333
 MO,0.033333333333333326
 PM,0.041666666666666664
 GIS,0.033333333333333326
 HSY,0.041666666666666664
 CLX,0.024999999999999994
 CPB,0.016666666666666663
 MKC,0.024999999999999994
 EL,0.033333333333333326
 CHD,0.024999999999999994
 K,0.016666666666666663
 BF.B,0.041666666666666664
 STZ,0.05833333333333333
