Stock,Weight
AAPL,0.11320754716981131
 MSFT,0.11320754716981131
 NVDA,0.14150943396226415
 AVGO,0.07547169811320754
 AMD,0.056603773584905655
 CRM,0.04716981132075472
 ORCL,0.03773584905660377
 INTU,0.028301886792452827
 TXN,0.028301886792452827
 QCOM,0.028301886792452827
 ACN,0.03773584905660377
 NOW,0.04716981132075472
 PANW,0.04716981132075472
 FTNT,0.03773584905660377
 INTC,0.018867924528301886
 ADBE,0.056603773584905655
 CSCO,0.028301886792452827
 ANET,0.018867924528301886
 LRCX,0.018867924528301886
 AMAT,0.018867924528301886
