Stock,Weight
UNH,0.08044042696413116
JNJ,0.07019905760169247
MRK,0.04010000961630925
LLY,0.04567746898740263
TMO,0.06558322915664967
ABBV,0.05981344360034618
MDT,0.05500528897009327
AMGN,0.04596595826521781
ISRG,0.040628906625637076
DHR,0.050774112895470715
ABT,0.06798730647177613
BMY,0.05096643908068083
VRTX,0.060342340609674
HUM,0.042840657755553416
CI,0.04260025002404076
GILD,0.04269641311664582
HCA,0.03461871333782094
BIIB,0.026156361188575825
PFE,0.05125492835849601
SYK,0.026348687373785942
