Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
EQIX,0.115,0.1,0.095,0.105,0.1
DLR,0.08,0.08,0.075,0.085,0.08
AMT,0.105,0.07,0.09,0.085,0.09
CCI,0.05,0.05,0.065,0.07,0.07
PLD,0.12,0.1,0.13,0.115,0.11
AVB,0.04,0.05,0.04,0.04,0.045
EQR,0.035,0.03,0.03,0.033,0.035
ESS,0.035,0.04,0.03,0.032,0.035
MAA,0.035,0.04,0.03,0.038,0.045
UDR,0.025,0.03,0.025,0.032,0.03
INVH,0.03,0.06,0.05,0.065,0.06
WELL,0.05,0.03,0.045,0.05,0.05
VTR,0.04,0.03,0.04,0.03,0.04
SPG,0.04,0.04,0.035,0.035,0.025
REG,0.025,0.03,0.025,0.02,0.02
KIM,0.02,0.02,0.025,0.015,0.02
O,0.045,0.06,0.055,0.04,0.05
VICI,0.055,0.06,0.05,0.07,0.06
HST,0.02,0.02,0.025,0.01,0.0175
WY,0.035,0.06,0.04,0.03,0.0175
