,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
0,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000/6/5,1090872,1999
1,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982/11/30,320193,1977
2,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012/12/31,1551152,2013 (1888)
3,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023/9/18,1559720,2008
4,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957/3/4,1800,1888
5,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022/11/1,947484,1995
6,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011/7/6,1467373,1989
7,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997/5/5,796343,1982
8,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999/10/12,6281,1965
9,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957/3/4,7084,1902
10,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981/3/31,8670,1949
11,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989/12/1,769397,1982
12,AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991/9/19,1002910,1902
13,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957/3/4,4904,1906
14,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998/10/2,874761,1981
15,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999/5/28,4977,1955
16,AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980/3/31,5272,1919
17,AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007/4/10,1267238,1892
18,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016/5/31,354190,1927
19,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007/7/12,1086222,1998
20,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016/7/1,915913,1994
21,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017/6/19,1097149,1997
22,ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995/7/13,899051,1931
23,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013/12/2,1579241,1908
24,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995/3/16,6951,1967
25,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019/6/7,1748790,2019 (1860)
26,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017/3/20,2488,1969
27,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013/9/23,1037868,1930
28,AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992/1/2,318154,1980
29,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005/10/3,820027,1894
30,AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007/11/19,1053507,1995
31,AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005/11/18,1018724,1994
