,mean_cum_return,volatility
energy,1.0372666042423115,0.0258799927905445
materials,1.0504018551889696,0.0228502194589637
industrials,1.0289763715554443,0.0243539912107944
consumer_discretionary,0.9730213142444644,0.0700545047925136
consumer_staples,1.0321948351302908,0.0300130146599805
health_care,1.0551865038750683,0.0202742720875297
financials,1.0392319299566752,0.0290718742647733
information_technology,0.9619922561748234,0.0479909160763128
communication_services,1.015604438004296,0.0459768624491452
utilities,1.022452615282753,0.016574387816597876
real_estate,1.0312728461942895,0.0214628073761896
