model,sector,index
gpt-4o-2024-11-20,energy,0.06517715075160367
gpt-4o-2024-11-20,materials,0.05843429846918323
gpt-4o-2024-11-20,industrials,0.052887421203512
gpt-4o-2024-11-20,consumer_discretionary,0.07096707818930029
gpt-4o-2024-11-20,consumer_staples,0.061323417090181284
gpt-4o-2024-11-20,health_care,0.0540343941564234
gpt-4o-2024-11-20,financials,0.06296713787698463
gpt-4o-2024-11-20,information_technology,0.06881615199806027
gpt-4o-2024-11-20,communication_services,0.08107717743447321
gpt-4o-2024-11-20,utilities,0.071677439386165
gpt-4o-2024-11-20,real_estate,0.06613517196047766
gpt-4.1,energy,0.06431849208575587
gpt-4.1,materials,0.05973498614513063
gpt-4.1,industrials,0.05305035915071008
gpt-4.1,consumer_discretionary,0.06737422216839005
gpt-4.1,consumer_staples,0.06973433129898922
gpt-4.1,health_care,0.06244984436405345
gpt-4.1,financials,0.05612773911204036
gpt-4.1,information_technology,0.07307709856853084
gpt-4.1,communication_services,0.07149755418153932
gpt-4.1,utilities,0.06725884162070116
gpt-4.1,real_estate,0.06275941840377391
o4-mini,energy,0.05960159999999998
o4-mini,materials,0.05632391364644962
o4-mini,industrials,0.053272
o4-mini,consumer_discretionary,0.06075799999999997
o4-mini,consumer_staples,0.05648696126652208
o4-mini,health_care,0.05387705795976788
o4-mini,financials,0.05803632573073818
o4-mini,information_technology,0.06557199999999996
o4-mini,communication_services,0.07604673686127306
o4-mini,utilities,0.06006093136236926
o4-mini,real_estate,0.06668999999999997
gpt-5,energy,0.05858999999999997
gpt-5,materials,0.05963199999999994
gpt-5,industrials,0.053272
gpt-5,consumer_discretionary,0.05709999999999997
gpt-5,consumer_staples,0.06002199999999999
gpt-5,health_care,0.05431951999999998
gpt-5,financials,0.057571999999999984
gpt-5,information_technology,0.05810199999999998
gpt-5,communication_services,0.08402390000000001
gpt-5,utilities,0.055943999999999945
gpt-5,real_estate,0.06400093999999996
claude-3-7-sonnet-20250219,energy,0.07600799999999998
claude-3-7-sonnet-20250219,materials,0.07631443699427483
claude-3-7-sonnet-20250219,industrials,0.058364152949953035
claude-3-7-sonnet-20250219,consumer_discretionary,0.07085599999999999
claude-3-7-sonnet-20250219,consumer_staples,0.06927999999999997
claude-3-7-sonnet-20250219,health_care,0.0628
claude-3-7-sonnet-20250219,financials,0.059272000000000005
claude-3-7-sonnet-20250219,information_technology,0.08347799999999998
claude-3-7-sonnet-20250219,communication_services,0.08451407626168651
claude-3-7-sonnet-20250219,utilities,0.06396
claude-3-7-sonnet-20250219,real_estate,0.06012
claude-sonnet-4-20250514,energy,0.08811841753414391
claude-sonnet-4-20250514,materials,0.06497683099255337
claude-sonnet-4-20250514,industrials,0.0545598722160819
claude-sonnet-4-20250514,consumer_discretionary,0.08600972692671004
claude-sonnet-4-20250514,consumer_staples,0.08017763440169014
claude-sonnet-4-20250514,health_care,0.06256945730331084
claude-sonnet-4-20250514,financials,0.06632415401918218
claude-sonnet-4-20250514,information_technology,0.0820582507800614
claude-sonnet-4-20250514,communication_services,0.11576251539756988
claude-sonnet-4-20250514,utilities,0.06868897813128236
claude-sonnet-4-20250514,real_estate,0.07651547204991208
claude-opus-4-20250514,energy,0.07002
claude-opus-4-20250514,materials,0.0642794574501301
claude-opus-4-20250514,industrials,0.054433545285646256
claude-opus-4-20250514,consumer_discretionary,0.08022244267990458
claude-opus-4-20250514,consumer_staples,0.06969541510492393
claude-opus-4-20250514,health_care,0.06590399999999998
claude-opus-4-20250514,financials,0.068322
claude-opus-4-20250514,information_technology,0.06835475025844172
claude-opus-4-20250514,communication_services,0.11294152
claude-opus-4-20250514,utilities,0.06712962962962953
claude-opus-4-20250514,real_estate,0.07284617201306254
deepseek-chat,energy,0.07999840169836532
deepseek-chat,materials,0.06590143862871123
deepseek-chat,industrials,0.05296851620527578
deepseek-chat,consumer_discretionary,0.0835121107266435
deepseek-chat,consumer_staples,0.06942082388510952
deepseek-chat,health_care,0.065093994140625
deepseek-chat,financials,0.0678899649144475
deepseek-chat,information_technology,0.08604412887013049
deepseek-chat,communication_services,0.09658977267560774
deepseek-chat,utilities,0.060035588309397696
deepseek-chat,real_estate,0.06672876243931537
deepseek-reasoner,energy,0.06152384930180995
deepseek-reasoner,materials,0.06715943893146073
deepseek-reasoner,industrials,0.05370418747406718
deepseek-reasoner,consumer_discretionary,0.07326982816529677
deepseek-reasoner,consumer_staples,0.06725070499006272
deepseek-reasoner,health_care,0.06682507858716362
deepseek-reasoner,financials,0.05758017492711362
deepseek-reasoner,information_technology,0.06930268039203735
deepseek-reasoner,communication_services,0.0916236437214613
deepseek-reasoner,utilities,0.06229527104959616
deepseek-reasoner,real_estate,0.06356201722007504
gemini-2.5-pro-preview-05-06,energy,0.06970064003384747
gemini-2.5-pro-preview-05-06,materials,0.07359731634535313
gemini-2.5-pro-preview-05-06,industrials,0.05519340281445262
gemini-2.5-pro-preview-05-06,consumer_discretionary,0.07485718318623381
gemini-2.5-pro-preview-05-06,consumer_staples,0.06540905430304965
gemini-2.5-pro-preview-05-06,health_care,0.06196026279582295
gemini-2.5-pro-preview-05-06,financials,0.06146455521309373
gemini-2.5-pro-preview-05-06,information_technology,0.07956947537711212
gemini-2.5-pro-preview-05-06,communication_services,0.09042782242173983
gemini-2.5-pro-preview-05-06,utilities,0.06325387700374176
gemini-2.5-pro-preview-05-06,real_estate,0.06481278689843503
grok-3-latest,energy,0.061626258529082094
grok-3-latest,materials,0.05647385581451506
grok-3-latest,industrials,0.05233051209797888
grok-3-latest,consumer_discretionary,0.07932840885023824
grok-3-latest,consumer_staples,0.062087881201602274
grok-3-latest,health_care,0.05526566576575162
grok-3-latest,financials,0.059010305070911054
grok-3-latest,information_technology,0.07936900042843736
grok-3-latest,communication_services,0.07381076196980252
grok-3-latest,utilities,0.05733711154130302
grok-3-latest,real_estate,0.06074514374836663
grok-3-mini-latest,energy,0.07081235026036459
grok-3-mini-latest,materials,0.055038244651141724
grok-3-mini-latest,industrials,0.05509994034538849
grok-3-mini-latest,consumer_discretionary,0.05706593368980417
grok-3-mini-latest,consumer_staples,0.057492785029177644
grok-3-mini-latest,health_care,0.05766555811673753
grok-3-mini-latest,financials,0.05605696844113823
grok-3-mini-latest,information_technology,0.06897959999999999
grok-3-mini-latest,communication_services,0.07703485330806206
grok-3-mini-latest,utilities,0.05212697896633201
grok-3-mini-latest,real_estate,0.05680833306089092
