model,sector,effective_rank
gpt-4o-2024-11-20,energy,7.1695939930387045
gpt-4.1,energy,6.717650170885665
o4-mini,energy,6.717650170885674
gpt-5,energy,7.1695939930387285
claude-3-7-sonnet-20250219,energy,6.806201490306951
claude-sonnet-4-20250514,energy,7.169593993038713
claude-opus-4-20250514,energy,7.169593993038719
deepseek-chat,energy,6.989795287864937
deepseek-reasoner,energy,7.169593993038709
gemini-2.5-pro-preview-05-06,energy,7.169593993038723
grok-3-latest,energy,7.169593993038727
grok-3-mini-latest,energy,6.71765017088568
gpt-4o-2024-11-20,materials,8.321286884382898
gpt-4.1,materials,8.504518464940308
o4-mini,materials,8.07278445228182
gpt-5,materials,7.703720152181772
claude-3-7-sonnet-20250219,materials,8.448886996773583
claude-sonnet-4-20250514,materials,8.034141564166289
claude-opus-4-20250514,materials,7.756399686775916
deepseek-chat,materials,8.004632500110212
deepseek-reasoner,materials,7.912809940203217
gemini-2.5-pro-preview-05-06,materials,7.938252166558355
grok-3-latest,materials,7.785778770468422
grok-3-mini-latest,materials,7.54826386936284
gpt-4o-2024-11-20,industrials,8.208371187846412
gpt-4.1,industrials,8.122155388767546
o4-mini,industrials,7.689316145773314
gpt-5,industrials,8.557835303543778
claude-3-7-sonnet-20250219,industrials,10.155098901896574
claude-sonnet-4-20250514,industrials,7.7544007806747475
claude-opus-4-20250514,industrials,9.729910601218199
deepseek-chat,industrials,9.017440081228218
deepseek-reasoner,industrials,9.402208927755701
gemini-2.5-pro-preview-05-06,industrials,7.81684659199345
grok-3-latest,industrials,7.754400780674731
grok-3-mini-latest,industrials,7.970605290968395
gpt-4o-2024-11-20,consumer_discretionary,8.253706418380647
gpt-4.1,consumer_discretionary,7.7252455353021565
o4-mini,consumer_discretionary,8.41454760204711
gpt-5,consumer_discretionary,8.213471939855967
claude-3-7-sonnet-20250219,consumer_discretionary,8.275000849392065
claude-sonnet-4-20250514,consumer_discretionary,8.366771068571648
claude-opus-4-20250514,consumer_discretionary,8.48139809059783
deepseek-chat,consumer_discretionary,8.443880283094604
deepseek-reasoner,consumer_discretionary,7.657078146522275
gemini-2.5-pro-preview-05-06,consumer_discretionary,8.182557312106857
grok-3-latest,consumer_discretionary,8.513067251653704
grok-3-mini-latest,consumer_discretionary,8.444665561179756
gpt-4o-2024-11-20,consumer_staples,7.8893257905801315
gpt-4.1,consumer_staples,8.222615416174278
o4-mini,consumer_staples,8.382770318795544
gpt-5,consumer_staples,8.260642177593898
claude-3-7-sonnet-20250219,consumer_staples,8.475166930980812
claude-sonnet-4-20250514,consumer_staples,12.077468369038934
claude-opus-4-20250514,consumer_staples,8.01214273884093
deepseek-chat,consumer_staples,11.520333601601441
deepseek-reasoner,consumer_staples,10.206955244347474
gemini-2.5-pro-preview-05-06,consumer_staples,7.927979846643671
grok-3-latest,consumer_staples,8.71256328790466
grok-3-mini-latest,consumer_staples,8.251357005840257
gpt-4o-2024-11-20,health_care,8.692729275908102
gpt-4.1,health_care,8.035404303157094
o4-mini,health_care,7.6848827098199815
gpt-5,health_care,8.658172974109348
claude-3-7-sonnet-20250219,health_care,9.224456551165714
claude-sonnet-4-20250514,health_care,9.021543917519825
claude-opus-4-20250514,health_care,8.965306491933365
deepseek-chat,health_care,8.557978651469297
deepseek-reasoner,health_care,8.530703394321717
gemini-2.5-pro-preview-05-06,health_care,9.542493005203228
grok-3-latest,health_care,8.734536626758553
grok-3-mini-latest,health_care,8.372643885959645
gpt-4o-2024-11-20,financials,5.570416408829101
gpt-4.1,financials,5.260391734964495
o4-mini,financials,4.6418301272946145
gpt-5,financials,4.837061510087282
claude-3-7-sonnet-20250219,financials,5.436697125931886
claude-sonnet-4-20250514,financials,5.254723228748065
claude-opus-4-20250514,financials,4.8313443271135705
deepseek-chat,financials,7.247323768142873
deepseek-reasoner,financials,5.3963840310534055
gemini-2.5-pro-preview-05-06,financials,4.675224513235931
grok-3-latest,financials,5.107990720047309
grok-3-mini-latest,financials,5.7426977564147705
gpt-4o-2024-11-20,information_technology,11.463278149455359
gpt-4.1,information_technology,10.479336978994002
o4-mini,information_technology,11.425304289292614
gpt-5,information_technology,11.5057066737563
claude-3-7-sonnet-20250219,information_technology,9.48372483784485
claude-sonnet-4-20250514,information_technology,11.914801561536796
claude-opus-4-20250514,information_technology,7.757666000103514
deepseek-chat,information_technology,11.594161536291805
deepseek-reasoner,information_technology,11.164694205520263
gemini-2.5-pro-preview-05-06,information_technology,11.000184945353425
grok-3-latest,information_technology,12.335446533137738
grok-3-mini-latest,information_technology,10.911049833050752
gpt-4o-2024-11-20,communication_services,9.108931680012738
gpt-4.1,communication_services,9.259883003844518
o4-mini,communication_services,9.128857689571973
gpt-5,communication_services,9.259883003844534
claude-3-7-sonnet-20250219,communication_services,8.829847400547541
claude-sonnet-4-20250514,communication_services,9.33543470872575
