Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNH,0.18,0.18,0.18,0.18,0.18
LLY,0.12,0.12,0.12,0.12,0.12
ABBV,0.1,0.1,0.08,0.08,0.1
TMO,0.09,0.09,0.09,0.1,0.09
ISRG,0.08,0.08,0.1,0.09,0.08
JNJ,0.07,0.07,0.06,0.08,0.08
REGN,0.07,0.06,0.08,0.07,0.07
VRTX,0.06,0.06,0.07,0.06,0.06
PFE,0.05,0.05,0.04,0.05,0.05
GILD,0.05,0.05,0.05,0.05,0.05
DXCM,0.04,0.045,0.06,0.04,0.04
AMGN,0.035,0.03,0.03,0.03,0.035
CVS,0.03,0.04,0.02,0.03,0.025
MRNA,0.015,0.01,0.005,0.01,0.005
BIIB,0.01,0.015,0.015,0.01,0.015
