Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NVDA,0.18,0.18,0.18,0.25,0.18
MSFT,0.16,0.16,0.16,0.2,0.16
AAPL,0.14,0.12,0.12,0.15,0.14
AMD,0.08,0.08,0.065,0.08,0.08
CRM,0.07,0.07,0.055,0.07,0.07
CRWD,0.065,0.055,0.08,0.06,0.05
PANW,0.065,0.05,0.06,0.04,0.05
NOW,0.06,0.06,0.07,0.035,0.06
AVGO,0.055,0.065,0.045,0.05,0.06
ADBE,0.05,0.045,0.05,0.03,0.04
QCOM,0.03,0.04,0.04,0.02,0.04
ORCL,0.02,0.035,0.03,0.01,0.03
CSCO,0.015,0.015,0.025,0.003,0.02
INTC,0.01,0.02,0.015,0.002,0.015
IBM,,0.005,0.005,0.0,0.005
