Stock,Weight
NEE,0.10309278350515462
 DUK,0.0824742268041237
 SO,0.07216494845360824
 D,0.06185567010309277
 AEP,0.06185567010309277
 EXC,0.05154639175257731
 XEL,0.05154639175257731
 ED,0.05154639175257731
 WEC,0.05154639175257731
 ES,0.05154639175257731
 PEG,0.04123711340206185
 ETR,0.04123711340206185
 FE,0.04123711340206185
 PPL,0.04123711340206185
 CMS,0.04123711340206185
 LNT,0.030927835051546386
 NI,0.030927835051546386
 AES,0.030927835051546386
 CNP,0.030927835051546386
 ATO,0.030927835051546386
