Stock,Weight
AMZN,0.17296222664015903
TSLA,0.11928429423459244
HD,0.09542743538767395
NKE,0.07554671968190854
MCD,0.05964214711729622
LOW,0.05168986083499007
SBUX,0.041749502982107355
TJX,0.03578528827037773
ROST,0.02385685884691849
CMG,0.04174950298210736
ORLY,0.031809145129224656
AZO,0.02982107355864811
YUM,0.02385685884691849
ABNB,0.03578528827037773
BKNG,0.057654075546719676
LULU,0.03777335984095427
ULTA,0.021868787276341946
F,0.011928429423459244
GM,0.009940357852882704
DPZ,0.02186878727634195
