Stock,Weight
LIN,0.11881188118811883
 APD,0.07920792079207922
 SHW,0.09900990099009904
 ECL,0.08910891089108912
 PPG,0.05940594059405942
 ALB,0.07920792079207922
 NUE,0.06930693069306933
 VMC,0.05940594059405942
 MLM,0.04950495049504952
 FCX,0.06930693069306933
 CF,0.04950495049504952
 MOS,0.03960396039603961
 IFF,0.02970297029702971
 CTVA,0.02970297029702971
 LYB,0.02475247524752476
 EMN,0.019801980198019806
 DOW,0.014851485148514854
 DD,0.009900990099009903
 IP,0.004950495049504951
 PKG,0.004950495049504951
