Stock,Weight
V,0.10101010101010101
 MA,0.10101010101010101
 BRK.B,0.10101010101010101
 BLK,0.0808080808080808
 JPM,0.0808080808080808
 MS,0.0606060606060606
 SPGI,0.05555555555555555
 MCO,0.05555555555555555
 PGR,0.050505050505050504
 CME,0.0404040404040404
 ICE,0.0404040404040404
 AXP,0.03535353535353535
 KKR,0.0303030303030303
 SCHW,0.0303030303030303
 CB,0.0303030303030303
 BAC,0.025252525252525252
 GS,0.025252525252525252
 USB,0.0202020202020202
 TFC,0.0202020202020202
 AFL,0.01515151515151515
