Stock,Weight
JPM,0.10152284263959391
 BAC,0.0913705583756345
 SPGI,0.08629441624365482
 BLK,0.08121827411167512
 SCHW,0.07614213197969542
 GS,0.07106598984771574
 ICE,0.06598984771573603
 AXP,0.060913705583756333
 MCO,0.055837563451776644
 PGR,0.050761421319796954
 MS,0.04568527918781725
 FIS,0.04060913705583756
 CB,0.03553299492385787
 COF,0.030456852791878167
 CBOE,0.025380710659898477
 BK,0.02030456852791878
 WFC,0.02030456852791878
 PNC,0.015228426395939083
 TFC,0.015228426395939083
 MET,0.01015228426395939
