Here鈥檚 one hypothetical, fully normalized allocation across the 20 stocks (sum = 1.00), designed with a quality-growth tilt and risk controls to try to beat a cap鈥憌eighted health care benchmark:,,,,,,,,,
,,,,,,,,,,,
- LLY: 0.10,,,,,,,,,,,
- UNH: 0.065,,,,,,,,,,,
- TMO: 0.06,,,,,,,,,,,
- DHR: 0.055,,,,,,,,,,,
- ABT: 0.045,,,,,,,,,,,
- SYK: 0.05,,,,,,,,,,,
- REGN: 0.065,,,,,,,,,,,
- VRTX: 0.065,,,,,,,,,,,
- BSX: 0.045,,,,,,,,,,,
- ISRG: 0.06,,,,,,,,,,,
- IDXX: 0.04,,,,,,,,,,,
- EW: 0.035,,,,,,,,,,,
- IQV: 0.035,,,,,,,,,,,
- MRK: 0.045,,,,,,,,,,,
- ABBV: 0.04,,,,,,,,,,,
- MCK: 0.045,,,,,,,,,,,
- ELV: 0.05,,,,,,,,,,,
- COR: 0.035,,,,,,,,,,,
- HCA: 0.035,,,,,,,,,,,
- GILD: 0.03,,,,,,,,,,,
- Total: 1.00,,,,,,,,,,,
,,,,,,,,,,,
Underlying strategy/logic,,,,,,,,,,,
- Core philosophy: Overweight durable, high-ROIC compounders with visible multi鈥憏ear growth drivers (innovation leaders in biopharma and medtech/tools) while balancing with stable cash鈥慺low businesses (managed care, distributors) to keep risk moderate. Underweight slower-growth, patent鈥憄ressure names.,,,,,,,,
- Factor mix:,,,,,,,,,,,
  - Quality and growth: Larger weights to LLY, REGN, VRTX, ISRG, BSX, SYK, TMO, DHR, IDXX on the basis of innovation pipelines, procedure growth, pricing power, and high returns on capital.
  - Defensive cash-flow ballast: UNH, ELV, ABT, MRK, ABBV, MCK, COR provide earnings durability and lower correlation to research cycles.,,,,,
  - Cyclical/opportunistic sleeve: IQV (R&D cycle leverage), HCA (utilization tailwinds), GILD (value/pipeline optionality) at smaller weights.,,,,,,,,,
- Position sizing rules:,,,,,,,,,,,
  - Max single-name cap ~10% (LLY set at the cap); higher weights where quality + growth + momentum align.,,,,,,,,,,,
  - More volatile biotech names capped near 6鈥?.5% each (REGN, VRTX); steadier cash-flow names 4鈥?%.,,,,,,,,,,
  - Subsector balance to avoid over-clustering: tools/medtech, managed care, biopharma, services/distributors represented.,,,,,,,,
- Risk management and rebalancing:,,,,,,,,,,,
  - Quarterly rebalance or on 20鈥?5% drift from target.,,,,,,,,,,,
  - Review subsector exposure and name-specific thesis/clinical or regulatory events.,,,,,,,,,,,
  - Aim for diversified alpha sources (innovation, procedures, utilization, services scale) to reduce single-factor drawdowns.,,,,,,,,
,,,,,,,,,,,
Note: This is a hypothetical illustration, not a recommendation.,,,,,,,,,,
