Stock,Weight
XOM,0.16589861751152077
CVX,0.14219881500987494
COP,0.1184990125082291
EOG,0.09282422646477946
SLB,0.04147465437788019
KMI,0.041474654377880185
OKE,0.030612244897959186
WMB,0.045424621461487825
HAL,0.015799868334430547
MPC,0.045424621461487825
VLO,0.019749835418038184
PSX,0.03258722843976301
BKR,0.018762343647136276
FANG,0.049374588545095466
DVN,0.03752468729427255
HES,0.021724818959842
APA,0.0032916392363396977
CTRA,0.01316655694535879
OXY,0.014812376563528637
TRGP,0.049374588545095466
