Stock,Weight
AMZN,0.17892644135188865
TSLA,0.11928429423459244
HD,0.09940357852882704
MCD,0.06461232604373758
NKE,0.07057654075546721
SBUX,0.04970178926441352
LOW,0.05964214711729622
TJX,0.04274353876739563
BKNG,0.03876739562624255
CMG,0.04373757455268389
ORLY,0.04970178926441352
AZO,0.02982107355864811
LULU,0.06858846918489066
RCL,0.014910536779324055
YUM,0.02087475149105368
ABNB,0.019880715705765408
F,0.002485089463220676
GM,0.004075546719681909
BBY,0.005168986083499007
ULTA,0.01709741550695825
