Stock,Weight
MSFT,0.1340341655716163
AAPL,0.11038107752956636
NVDA,0.14980289093298288
CRM,0.06011826544021024
ADBE,0.05420499342969776
NOW,0.05420499342969776
AMD,0.0788436268068331
AVGO,0.061103810775295656
ORCL,0.02956636005256242
CSCO,0.0142904073587385
PANW,0.05124835742444152
CRWD,0.049277266754270695
FTNT,0.019710906701708275
INTU,0.03350854139290407
IBM,0.007391590013140604
HPQ,0.003942181340341655
INTC,0.006570302233902759
TXN,0.02266754270696452
QCOM,0.03153745072273324
AMAT,0.027595269382391582
