Stock,Weight
JNJ,0.0891089108910891
 LLY,0.09900990099009901
 MRK,0.07920792079207921
 UNH,0.0891089108910891
 AMGN,0.06930693069306931
 VRTX,0.07920792079207921
 REGN,0.06930693069306931
 ISRG,0.06930693069306931
 SYK,0.0594059405940594
 BSX,0.04950495049504951
 EW,0.039603960396039604
 MDT,0.039603960396039604
 GILD,0.039603960396039604
 ELV,0.0297029702970297
 CVS,0.0297029702970297
 DXCM,0.019801980198019802
 IDXX,0.019801980198019802
 BMY,0.009900990099009901
 ALGN,0.009900990099009901
 CI,0.009900990099009901
