Stock,Weight
XOM,0.1301671064204046
CVX,0.10554089709762535
COP,0.08795074758135446
EOG,0.07036059806508357
DVN,0.054529463500439766
APA,0.04045734388742305
KMI,0.047493403693931416
WMB,0.04397537379067723
OKE,0.03518029903254179
VLO,0.05101143359718558
PSX,0.04397537379067723
MPC,0.049252418645558495
SLB,0.03430079155672824
HAL,0.027264731750219883
BKR,0.023746701846965708
OXY,0.03781882145998242
HES,0.03254177660510115
FANG,0.03254177660510115
TRGP,0.021987686895338615
CTRA,0.029903254177660512
