Stock,Weight
MSFT,0.1461377870563674
AAPL,0.09812108559498954
AVGO,0.06680584551148225
ADBE,0.028183716075156573
ORCL,0.013569937369519832
ACN,0.033402922755741124
INTU,0.024008350730688934
CSCO,0.01148225469728601
LRCX,0.03653444676409186
NVDA,0.1544885177453027
AMD,0.05845511482254697
CRM,0.028183716075156573
NOW,0.037578288100208766
PANW,0.04801670146137786
QCOM,0.01774530271398747
KLAC,0.03444676409185803
AMAT,0.03444676409185803
SNPS,0.043841336116910226
CDNS,0.043841336116910226
ANET,0.04070981210855949
