Stock,Weight
UNH,0.1002044989775051
JNJ,0.07566462167689161
MRK,0.06543967280163598
ABBV,0.05316973415132924
TMO,0.06543967280163598
ABT,0.047034764826175864
DHR,0.04089979550102249
SYK,0.03476482617586912
GILD,0.020449897750511245
CI,0.032719836400818
BDX,0.027607361963190174
LLY,0.11042944785276072
ISRG,0.0674846625766871
VRTX,0.04498977505112473
REGN,0.031697341513292426
EW,0.047034764826175864
IDXX,0.025562372188139056
DXCM,0.05112474437627811
MRNA,0.01329243353783231
ZTS,0.04498977505112474
